,F62,F107,F109,F116,F117,F110,F114,F115,F88,F70,F37,F74,F84,F7,F6,F13,F1,F5,category,1
45,-0.7120065,-0.31727704,-1.4727273,1.4852144,-0.31713596,-0.47566697,-0.2469495,-0.23607753,0.14391786,-0.11694603,-0.26441452,1.6948794,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.0013819871003281795
46,-0.7120065,-0.31727704,0.1464292,1.4852144,-0.31713596,-0.47566697,-0.2469495,-0.23607753,0.7868593,0.82812274,-0.26441452,-0.50977933,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.00028753034039301036
47,-0.7120065,-0.31727704,0.1464292,1.4852144,-0.31713596,-0.47566697,-0.2469495,-0.23607753,0.7868593,0.82812274,-0.26441452,-0.50977933,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.00028753034039301036
48,-0.7120065,-0.31727704,0.1464292,1.4852144,-0.31713596,-0.47566697,-0.2469495,-0.23607753,0.7868593,0.82812274,-0.26441452,-0.50977933,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.00028753034039301036
49,0.14051814,-0.31727704,1.2836937,-0.54470265,-0.31713596,-0.41225082,-0.2469495,-0.23607753,0.7868593,0.82812274,-0.26441452,-0.50977933,0.7968752,-0.11675073,-0.26468047,-0.085960224,0.96500033,-0.3449856,0,3.0277539473032166e-06
50,0.14051814,-0.31727704,1.2836937,-0.54470265,-0.31713596,-0.41225082,-0.2469495,-0.23607753,0.7868593,0.82812274,-0.26441452,-0.50977933,0.7968752,-0.11675073,-0.26468047,-0.085960224,0.96500033,-0.3449856,0,3.0277539473032166e-06
51,0.22871034,-0.31727704,1.2836937,-0.54470265,-0.31713596,-0.41225082,-0.2469495,-0.23607753,0.7868593,0.82812274,-0.26441452,-0.50977933,0.7968752,-0.11675073,-0.26468047,-0.085960224,2.5312111,-0.3449856,0,1.7745034234977718e-06
52,0.934248,-0.31727704,1.2836937,-0.54470265,-0.31713596,-0.41225082,-0.2469495,-0.23607753,0.7868593,0.82812274,-0.26441452,-0.50977933,0.7968752,-0.11675073,-0.26468047,-0.085960224,2.5312111,-0.3449856,0,1.364372824394907e-06
53,-0.32984027,-0.31727704,-1.1257653,-0.54470265,-0.31713596,-0.24578345,-0.2469495,-0.23607753,0.7868593,0.82812274,-0.26441452,-0.50977933,0.7968752,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,1.717700965019265e-05
54,-0.32984027,-0.31727704,-1.1257653,-0.54470265,-0.31713596,-0.24578345,-0.2469495,-0.23607753,0.7868593,0.82812274,-0.26441452,-0.50977933,0.7968752,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,1.717700965019265e-05
55,-0.6238143,-0.31727704,0.6090452,-0.54470265,-0.31713596,-0.47566697,-0.2469495,-0.23607753,0.7868593,0.82812274,-0.26441452,-0.50977933,0.7968752,-0.11675073,-0.26468047,-0.085960224,0.96500033,-0.3449856,0,5.06059295399652e-06
56,-0.6238143,-0.31727704,0.6090452,-0.54470265,-0.31713596,-0.47566697,-0.2469495,-0.23607753,0.7868593,0.82812274,-0.26441452,-0.50977933,0.7968752,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,8.355573499316417e-06
57,-0.32984027,-0.31727704,0.6090452,-0.54470265,-0.31713596,-0.47566697,-0.2469495,-0.23607753,0.7868593,0.82812274,-0.26441452,-0.50977933,0.7968752,-0.11675073,-0.26468047,-0.085960224,0.96500033,-0.3449856,0,4.535672114203295e-06
58,-0.53562206,-0.31727704,0.6090452,-0.54470265,-0.31713596,-0.47566697,-0.2469495,-0.23607753,0.7868593,0.82812274,-0.26441452,-0.50977933,0.7968752,-0.11675073,-0.26468047,-0.085960224,0.96500033,-0.3449856,0,4.897038059020228e-06
59,-0.32984027,-0.31727704,0.6090452,-0.54470265,-0.31713596,-0.47566697,-0.2469495,-0.23607753,0.7868593,0.82812274,-0.26441452,-0.50977933,0.7968752,-0.11675073,-0.26468047,-0.085960224,0.96500033,-0.3449856,0,4.535672114203295e-06
60,-0.32984027,-0.31727704,0.6090452,-0.54470265,-0.31713596,-0.47566697,-0.2469495,-0.23607753,0.7868593,0.82812274,-0.26441452,-0.50977933,0.7968752,-0.11675073,-0.26468047,-0.085960224,0.96500033,-0.3449856,0,4.535672114203295e-06
61,-0.32984027,-0.31727704,0.6090452,-0.54470265,-0.31713596,-0.47566697,-0.2469495,-0.23607753,0.7868593,0.82812274,-0.26441452,-0.50977933,0.7968752,-0.11675073,-0.26468047,-0.085960224,0.96500033,-0.3449856,0,4.535672114203295e-06
62,-0.47682726,-0.31727704,0.6090452,-0.54470265,-0.31713596,-0.47566697,-0.2469495,-0.23607753,0.7868593,0.82812274,-0.26441452,-0.50977933,0.7968752,-0.11675073,-0.26468047,-0.085960224,-0.6012105,2.8986719,0,3.018378842891373e-05
63,-0.32984027,-0.10305287,0.6090452,-0.54470265,-0.31713596,-0.47566697,-0.2469495,-0.23607753,0.7868593,0.82812274,-0.26441452,-0.50977933,0.7968752,-0.11675073,-0.26468047,-0.085960224,0.96500033,-0.3449856,0,4.220568316962989e-06
64,0.08172334,-0.31727704,0.9367317,-0.54470265,-0.23974264,0.13976903,-0.2469495,-0.23607753,0.7868593,0.82812274,-0.26441452,-0.50977933,0.7968752,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,8.57949526234399e-06
65,0.22871034,4.395655,0.9367317,-0.54470265,-0.23974264,0.13976903,-0.2469495,-0.23607753,0.7868593,0.82812274,-0.26441452,-0.50977933,0.7968752,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,1.666195315425474e-06
66,0.22871034,4.395655,0.9367317,-0.54470265,-0.23974264,0.13976903,-0.2469495,-0.23607753,0.7868593,0.82812274,-0.26441452,-0.50977933,0.7968752,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,1.666195315425474e-06
67,-0.6238143,-0.31727704,-0.18125731,-0.54470265,0.11020995,0.19066201,-0.2469495,-0.23607753,-0.8051069,-0.86780494,-0.26441452,0.14897572,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,9.783810670843435e-05
68,-0.6238143,-0.31727704,-0.18125731,-0.54470265,0.11020995,0.19066201,-0.2469495,-0.23607753,-0.8051069,-0.86780494,-0.26441452,0.14897572,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,9.783810670843435e-05
69,-0.6238143,-0.21016496,-0.18125731,-0.54470265,0.11020995,0.19066201,-0.2469495,-0.23607753,-0.8051069,-0.86780494,-0.26441452,0.14897572,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,9.437872729364004e-05
70,-0.7120065,-0.31727704,-0.9908355,1.4852144,1.1390057,1.0568893,-0.2469495,-0.23607753,0.5015696,0.7270307,-0.26441452,0.0696986,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.003189455314336583
71,2.5805025,-0.31727704,0.9367317,-0.54470265,-0.23974264,0.13976903,-0.2469495,-0.23607753,-1.0446504,-1.289922,3.0704699,0.0696986,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,2.8986719,0,3.061181472584015e-05
72,-0.7120065,-0.31727704,-0.9908355,1.4852144,1.1390057,1.0568893,-0.2469495,-0.23607753,0.5015696,0.7270307,3.0704699,0.0696986,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.0014805335744031136
73,-0.6238143,-0.31727704,1.2836937,-0.54470265,-0.31713596,-0.41225082,-0.2469495,-0.23607753,-0.88412297,-0.9838164,-0.26441452,0.4528713,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,3.3997403184590376e-05
74,0.08172334,1.6107407,-0.18125731,-0.54470265,0.11020995,0.19066201,-0.2469495,-0.23607753,-1.3074828,-1.4182805,-0.26441452,0.4528713,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,5.3780742022445756e-05
75,-0.7120065,-0.31727704,-1.3570733,1.4852144,0.91148347,0.6737503,-0.2469495,-0.23607753,0.20796247,0.20099218,-0.26441452,1.6948794,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.004727882655786146
76,-0.7120065,-0.31727704,-0.9908355,1.4852144,1.1390057,1.0568893,-0.2469495,-0.23607753,-1.0238568,-1.2587969,0.21199754,0.0696986,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.006161372351618969
77,-0.41803247,0.32539552,-1.492003,-0.54470265,-0.31713596,-0.47566697,-0.2469495,-0.23607753,-0.8051069,-0.86780494,0.68840957,0.0696986,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,5.108715781585181e-05
78,-0.7120065,-0.31727704,-0.9908355,1.4852144,1.1390057,1.0568893,-0.2469495,-0.23607753,-1.0238568,-1.2587969,0.21199754,0.0696986,-1.2664572,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.006161372351618969
79,-0.27104548,-0.31727704,-0.85590583,-0.54470265,-0.028049037,-0.20521584,-0.2469495,-0.23607753,-0.12224159,-0.39887184,-0.26441452,4.507329,-0.7750381,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.00017198509958784
80,-0.5062247,-0.31727704,-0.85590583,-0.54470265,-0.028049037,-0.20521584,-0.2469495,-0.23607753,-0.12224159,-0.39887184,-0.26441452,4.507329,-0.7750381,-0.11675073,3.404957,-0.085960224,-0.6012105,2.8986719,0,0.007295108038571076
81,-0.38863507,0.004059224,-0.85590583,-0.54470265,-0.028049037,-0.20521584,-0.2469495,-0.23607753,-0.12224159,-0.39887184,-0.26441452,4.507329,-0.7750381,-0.11675073,3.404957,-0.085960224,-0.6012105,2.8986719,0,0.006274049191204193
82,-0.38863507,0.004059224,-1.492003,-0.54470265,-0.31713596,-0.47566697,-0.2469495,-0.23607753,-0.12224159,-0.39887184,-0.26441452,4.507329,-0.7750381,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.00022934846888564755
83,-0.6238143,-0.31727704,-1.4149003,-0.54470265,-0.31713596,0.44386676,1.3100516,-0.23607753,-2.357149,-1.6605927,-0.26441452,0.0508231,-1.2685483,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.0014755194950421015
84,-0.7120065,-0.31727704,0.1464292,1.4852144,-0.31713596,-0.47566697,1.3100516,-0.23607753,-0.8051069,-0.86780494,-0.26441452,0.0508231,-1.2685483,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.0027480447239245673
85,-0.7120065,-0.31727704,0.1464292,1.4852144,-0.31713596,-0.47566697,1.3100516,2.7760584,-0.29275,-0.61674696,-0.26441452,2.8896985,-1.2685483,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.10891730110541646
86,-0.35923767,0.64673173,-1.434176,3.515131,2.140103,1.8231676,1.3100516,2.7760584,-0.8051069,-0.86780494,-0.26441452,2.8896985,-1.2685483,-0.11675073,-0.26468047,-0.085960224,-0.6012105,2.8986719,1,0.9939573387073662
87,-0.6238143,-0.31727704,-1.2992463,-0.54470265,-0.31713596,-0.47566697,-0.2469495,-0.23607753,-2.5068636,-1.6966051,-0.26441452,0.065923505,-1.2681301,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.000321116158975495
88,-0.5062247,-0.31727704,-1.2992463,-0.54470265,-0.31713596,-0.47566697,-0.2469495,-0.23607753,-2.5068636,-1.6966051,-0.26441452,0.065923505,-1.2681301,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.0003073475276979024
89,-0.6238143,-0.31727704,-1.2992463,-0.54470265,-0.31713596,-0.47566697,-0.2469495,-0.23607753,-2.5068636,-1.6966051,-0.26441452,0.065923505,-1.2681301,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.000321116158975495
90,-0.035866264,-0.31727704,-1.2992463,-0.54470265,-0.31713596,-0.47566697,-0.2469495,-0.23607753,-2.5068636,-1.6966051,-0.26441452,0.065923505,-1.2681301,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.00025792741904272714
91,-0.6238143,-0.31727704,-1.2992463,-0.54470265,-0.31713596,-0.47566697,-0.2469495,-0.23607753,-2.5068636,-1.6966051,-0.26441452,0.065923505,-1.2681301,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.000321116158975495
92,-0.6238143,-0.31727704,-1.2992463,-0.54470265,-0.31713596,-0.47566697,-0.2469495,-0.23607753,-2.5068636,-1.6966051,-0.26441452,0.065923505,-1.2681301,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.000321116158975495
93,-0.6238143,-0.31727704,-1.2992463,-0.54470265,-0.31713596,-0.47566697,-0.2469495,-0.23607753,-2.5068636,-1.6966051,-0.26441452,0.065923505,-1.2681301,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.000321116158975495
94,-0.6238143,-0.31727704,-1.2992463,-0.54470265,-0.31713596,-0.47566697,-0.2469495,-0.23607753,-2.5068636,-1.6966051,-0.26441452,0.065923505,-1.2681301,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.000321116158975495
95,-0.6238143,-0.31727704,-1.2992463,-0.54470265,-0.31713596,-0.47566697,-0.2469495,-0.23607753,-2.5068636,-1.6966051,-0.26441452,0.065923505,-1.2681301,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.000321116158975495
96,-0.6238143,-0.31727704,-1.2992463,-0.54470265,-0.31713596,-0.47566697,-0.2469495,-0.23607753,-2.5068636,-1.6966051,-0.26441452,0.065923505,-1.2681301,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.000321116158975495
97,-0.15345587,0.21828343,-1.202868,3.515131,2.140103,2.9725847,7.538056,5.7881947,-2.651588,-1.7200131,-0.26441452,0.0036343446,-1.2727306,-0.11675073,-0.26468047,-0.085960224,-0.6012105,2.8986719,1,0.9999978964611858
98,-0.18285327,0.11117132,-1.202868,3.515131,2.140103,2.9725847,7.538056,5.7881947,-2.651588,-1.7200131,-0.26441452,0.0036343446,-1.2727306,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,1,0.9999938466707308
100,-0.5062247,0.32539552,-1.202868,-0.54470265,2.140103,2.9725847,-0.2469495,-0.23607753,-1.0679394,-1.3107578,-0.26441452,0.020622298,-1.2718941,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.005058444225744795
101,-0.18285327,0.21828343,-1.1257653,-0.54470265,-0.31713596,-0.24578345,-0.2469495,-0.23607753,-2.3854284,-1.6716536,-0.26441452,0.14897572,-1.2718941,-0.11675073,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.00025526720238466864
102,-0.38863507,0.64673173,-0.18125731,-0.54470265,0.11020995,0.19066201,-0.2469495,-0.23607753,-2.5442922,-1.7004635,1.6412337,0.0696986,-1.2718941,8.565258,-0.26468047,-0.085960224,-0.6012105,-0.3449856,0,0.004710172652368835
