,F65,F64,F67,F34,F66,F69,F68,F102,F103,F105,F107,F108,F94,F95,F109,F23,F22,F111,F112,F116,F117,F118,F120,F110,F121,F123,F114,F115,F61,F41,F40,F42,F45,F46,F127,F35,F131,F38,F132,F37,F134,F39,F135,F136,F84,F146,F16,F3,F7,F12,F2,F13,F18,F14,F1,F5,F9,F19,F15,F11,category,1
10,-0.5102602,-0.40897584,-0.4892179,-1.0586799,-0.74750006,0.820993,-0.55992085,-0.700432,-0.48712412,0.7670511,-0.28275108,0.024615882,-1.062283,-0.56517166,1.514659,-0.4470895,-0.6413419,-1.062283,-0.5651716,-0.80678064,-0.28713745,-0.23385027,-0.25211012,-0.28713742,-0.13783385,-0.25211012,-0.9299314,-0.6877364,-0.22594123,-0.39324254,-0.4870455,-0.3141971,-0.37762898,-0.6367844,-0.523328,-0.20393133,-0.1996638,-0.2588163,-0.8188139,-0.17184673,-0.5887936,-0.14385693,-0.7893903,-0.58747923,-0.36287916,-0.63624156,-0.33448875,-0.2857285,-0.18578252,-0.07990816,-0.32597896,-0.08478924,-0.08359497,-0.07471743,-0.32707766,-0.25154018,-0.13851993,-0.026352312,-0.33832303,-0.075915545,0,3.319328405994405e-05
11,-0.388103,-0.40897584,-0.4892179,0.72612,-0.74750006,-0.14436881,-0.55992085,-0.7279895,-0.13142404,-1.4167482,-0.28275108,-0.8849096,-1.062283,-0.76824164,0.22185442,0.44771042,-2.24581,-1.062283,-0.7682417,-0.80678064,-0.35227492,5.2768407,-1.6980649,-0.3522749,-0.7291804,-1.6980649,-0.9299314,-0.6877364,-0.44516516,-0.39324254,-0.4870455,-0.3141971,-0.37762898,-0.6367844,-0.5607078,-0.20393133,-0.9909182,-0.2588163,-0.8188139,-0.17184673,-0.5887936,-0.14385693,-0.7893903,-0.58747923,-0.36287916,-0.63624156,-0.33448875,-0.2857285,-0.18578252,-0.07990816,-0.32597896,-0.08478924,-0.08359497,-0.07471743,-0.32707766,3.4471273,-0.13851993,-0.026352312,-0.33832303,-0.075915545,0,1.1114785791302548e-05
12,-0.388103,-0.40897584,-0.4892179,-0.16627996,-0.74750006,-0.38570926,-0.55992085,-0.7279895,-0.13142404,0.18470454,-0.28275108,-0.8849096,-1.062283,-0.76824164,-0.44301668,0.44771042,0.9631263,-1.062283,-0.7682417,-0.1472283,-0.43792647,-0.30126533,1.7533792,-0.4379264,-0.24871136,1.7533792,-0.9299314,-0.6877364,-0.44516516,-0.39324254,-0.4870455,-0.3141971,-0.37762898,-0.6367844,-0.5607078,-0.20393133,-0.9909182,-0.2588163,-0.8188139,-0.17184673,-0.5887936,-0.14385693,-0.7893903,-0.58747923,-0.36287916,-0.63624156,2.9896376,-0.2857285,-0.18578252,-0.07990816,-0.32597896,-0.08478924,-0.08359497,-0.07471743,-0.32707766,-0.25154018,-0.13851993,-0.026352312,2.9557548,-0.075915545,0,0.00034714015216849147
13,-0.71385574,-0.40897584,-0.4892179,-1.0586799,-0.74750006,-0.084033705,-0.55992085,-0.8599754,-0.7094368,0.7670511,1.1729023,0.024615882,-1.062283,-0.8697766,1.514659,0.8951104,0.9631263,-1.062283,-0.86977667,-0.80678064,-0.28713745,-0.23385027,-0.25211012,-0.28713742,-0.13783385,-0.25211012,-0.9299314,-0.6877364,-0.4788919,-0.39324254,-0.4870455,-0.3141971,-0.37762898,-0.6367844,-0.56569177,-0.20393133,-1.3349987,-0.2588163,-0.8188139,-0.17184673,-0.5887936,-0.14385693,-0.7893903,-0.58747923,-0.36287916,-0.63624156,-0.33448875,-0.2857285,-0.18578252,-0.07990816,-0.32597896,-0.08478924,-0.08359497,-0.07471743,-0.32707766,-0.25154018,-0.13851993,-0.026352312,-0.33832303,-0.075915545,0,0.0001068345488507749
14,-0.36774346,-0.66116804,-0.4892179,-1.0586799,-0.7510706,-0.32537416,-0.81718946,-0.80921155,-0.53562874,0.7670511,-0.14411744,0.024615882,-1.062283,-0.8697766,1.514659,-0.4470895,-0.6413419,-1.062283,-0.86977667,-0.80678064,-0.28713745,-0.23385027,-0.25211012,-0.28713742,-0.13783385,-0.25211012,2.2367778,-0.6877364,-0.66438913,-0.38910025,-0.4870455,-0.3141971,-0.37149706,-0.3448367,-0.5781517,-0.20393133,2.774335,-0.2588163,-0.7846261,-0.17184673,-0.4063706,-0.14385693,-0.7014727,-0.57117736,-0.28070596,-0.39561227,-0.33448875,-0.2857285,-0.18578252,-0.07990816,-0.32597896,-0.08478924,-0.08359497,-0.07471743,-0.32707766,-0.25154018,-0.13851993,-0.026352312,-0.33832303,-0.075915545,0,0.0001497494774997103
15,-0.67313665,-0.66116804,-0.4892179,-1.0586799,-0.7510706,0.036636516,-0.81718946,-0.8063108,-0.55988103,0.7670511,0.47973403,0.024615882,-1.062283,-0.8697766,1.514659,0.8951104,0.9631263,-1.062283,-0.86977667,-0.80678064,-0.28713745,-0.23385027,-0.25211012,-0.28713742,-0.13783385,-0.25211012,2.2367778,-0.6877364,-0.42830178,-0.38910025,-0.4870455,-0.3141971,-0.37149706,-0.3448367,-0.55572385,-0.20393133,-1.0762385,-0.2588163,-0.7846261,-0.17184673,-0.4063706,-0.14385693,-0.7014727,-0.57117736,-0.28070596,-0.39561227,-0.33448875,-0.2857285,-0.18578252,-0.07990816,-0.32597896,-0.08478924,-0.08359497,-0.07471743,-0.32707766,-0.25154018,-0.13851993,-0.026352312,-0.33832303,-0.075915545,0,0.0005215363228249531
16,-0.5509794,-0.66116804,-0.4892179,0.1311867,-0.7510706,-0.20470393,-0.81718946,-0.8193643,-0.47904003,-0.9799883,0.13314988,0.024615882,-1.062283,-0.8697766,1.1822237,0.8951104,0.9631263,-1.062283,-0.86977667,1.8314286,0.9045822,-0.033851344,-0.25211012,0.9045822,-0.13783385,-0.25211012,2.2367778,2.4259,-0.46202853,-0.38910025,-0.4870455,-0.3141971,-0.37149706,-0.3448367,-0.5607078,-0.20393133,-1.3837254,-0.2588163,-0.7846261,-0.17184673,-0.4063706,-0.14385693,-0.7014727,-0.57117736,-0.28070596,-0.39561227,-0.33448875,-0.2857285,-0.18578252,-0.07990816,-0.32597896,-0.08478924,-0.08359497,-0.07471743,-0.32707766,-0.25154018,-0.13851993,-0.026352312,-0.33832303,-0.075915545,1,0.9999716842382058
17,0.0394475,-0.66116804,-0.4892179,1.3210534,-0.7510706,0.45898232,-0.81718946,-0.34508523,0.014089659,-0.6680169,1.9353875,0.024615882,-1.062283,-0.56517166,-0.73851484,0.8951104,0.9631263,-1.062283,-0.5651716,1.8314286,2.2937868,-0.037423093,0.5683801,2.2937868,2.5601852,0.5683801,2.2367778,2.4259,-0.31025812,-0.38910025,1.5369143,-0.3141971,-0.37149706,-0.3448367,-0.510868,-0.17945684,-0.24165371,-0.23353381,-0.7846261,-0.17184673,-0.4063706,-0.12671424,-0.7014727,-0.57117736,-0.28070596,-0.39561227,-0.33448875,-0.2857285,-0.18578252,-0.07990816,-0.32597896,-0.08478924,-0.08359497,-0.07471743,-0.32707766,3.4471273,-0.13851993,-0.026352312,-0.33832303,-0.075915545,1,0.9999740263151174
18,0.0394475,-0.66116804,-0.4892179,1.3210534,-0.7510706,0.45898232,-0.81718946,-0.34508523,0.014089659,-1.1671711,1.9353875,0.024615882,-1.062283,-0.56517166,-0.73851484,0.8951104,0.9631263,-1.062283,-0.5651716,1.8314286,2.2937868,-0.037423093,0.5683801,2.2937868,2.5601852,0.5683801,2.2367778,2.4259,-0.31025812,-0.38910025,1.5369143,-0.3141971,-0.37149706,-0.3448367,-0.510868,-0.17945684,-0.24165371,-0.23353381,-0.7846261,-0.17184673,-0.4063706,-0.12671424,-0.7014727,-0.57117736,-0.28070596,-0.39561227,-0.33448875,-0.2857285,-0.18578252,-0.07990816,-0.32597896,-0.08478924,-0.08359497,-0.07471743,-0.32707766,3.4471273,-0.13851993,-0.026352312,-0.33832303,-0.075915545,1,0.9999775411248909
19,0.0394475,-0.66116804,-0.4892179,1.3210534,-0.7510706,0.45898232,-0.81718946,-0.34508523,0.014089659,-2.352662,1.9353875,0.024615882,-1.062283,-0.56517166,0.5173526,0.00031047114,-0.6413419,-1.062283,-0.5651716,1.8314286,2.5048914,-0.17437322,0.5683801,2.5048914,2.5601852,0.5683801,2.2367778,2.4259,-0.31025812,-0.38910025,1.5369143,-0.3141971,-0.37149706,-0.3448367,-0.510868,-0.17945684,-0.24165371,-0.23353381,-0.7846261,-0.17184673,-0.4063706,-0.12671424,-0.7014727,-0.57117736,-0.28070596,-0.39561227,-0.33448875,-0.2857285,-0.18578252,-0.07990816,-0.32597896,-0.08478924,-0.08359497,-0.07471743,-0.32707766,3.4471273,-0.13851993,-0.026352312,-0.33832303,-0.075915545,1,0.9999911727138273
20,0.0394475,-0.66116804,-0.4892179,1.3210534,-0.7510706,0.45898232,-0.81718946,-0.34508523,0.014089659,-1.853508,1.9353875,0.024615882,-1.062283,-0.56517166,0.5173526,0.00031047114,-0.6413419,-1.062283,-0.5651716,1.8314286,2.5048914,-0.17437322,0.5683801,2.5048914,2.5601852,0.5683801,2.2367778,2.4259,-0.31025812,-0.38910025,1.5369143,-0.3141971,-0.37149706,-0.3448367,-0.510868,-0.17945684,-0.24165371,-0.23353381,-0.7846261,-0.17184673,-0.4063706,-0.12671424,-0.7014727,-0.57117736,-0.28070596,-0.39561227,-0.33448875,-0.2857285,-0.18578252,-0.07990816,-0.32597896,-0.08478924,-0.08359497,-0.07471743,-0.32707766,3.4471273,-0.13851993,-0.026352312,-0.33832303,-0.075915545,1,0.9999897912237599
21,-0.103069335,-0.10058861,-0.14675352,0.72612,-0.6618067,0.3383121,-0.5084671,-0.20874813,0.6446489,-0.8581018,2.074021,0.024615882,-0.72101676,-0.56517166,1.1822237,0.8951104,0.9631263,-0.72101665,-0.5651716,-0.80678064,0.9045822,-0.033851344,-0.25211012,0.9045822,-0.13783385,-0.25211012,-0.9299314,-0.6877364,0.44859406,-0.11156716,-0.4870455,-0.31890777,0.042406283,0.45829234,-0.19189349,-0.20393133,0.47690418,-0.2588163,-0.37093028,-0.17184673,-0.2976931,-0.14385693,-0.34482795,-0.3248711,-0.13650525,0.026653385,-0.33448875,-0.2857285,-0.18578252,-0.07990816,-0.32597896,-0.08478924,-0.08359497,-0.07471743,-0.32707766,-0.25154018,-0.13851993,-0.026352312,-0.33832303,-0.075915545,0,0.0008618789409981025
22,-0.36774346,-0.10058861,0.024478696,-1.0586799,-0.6618067,-0.38570926,-0.5084671,-0.39149788,-0.2769377,0.7670511,-0.28275108,0.024615882,-0.72101676,-0.8697766,1.1822237,0.00031047114,-0.6413419,-0.72101665,-0.86977667,-0.80678064,0.9045822,-0.033851344,-0.25211012,0.9045822,-0.13783385,-0.25211012,-0.9299314,-0.6877364,-0.1584877,-0.11156716,-0.4870455,-0.31890777,0.042406283,0.45829234,-0.03988218,-0.20393133,0.21265967,-0.2588163,-0.37093028,-0.17184673,-0.2976931,-0.14385693,-0.34482795,-0.3248711,-0.13650525,0.026653385,-0.33448875,-0.2857285,-0.18578252,-0.07990816,-0.32597896,-0.08478924,-0.08359497,-0.07471743,-0.32707766,-0.25154018,-0.13851993,-0.026352312,-0.33832303,-0.075915545,0,0.0006496891746667208
23,-0.5306198,-0.10058861,-0.4892179,0.1311867,-0.6618067,-0.14436881,-0.5084671,-0.3334821,-0.21226497,-0.009410835,0.27178356,0.024615882,-0.72101676,-0.8697766,1.1822237,0.00031047114,-0.6413419,-0.72101665,-0.86977667,-0.80678064,0.9045822,-0.033851344,-0.25211012,0.9045822,-0.13783385,-0.25211012,-0.9299314,-0.6877364,-0.42830178,-0.11156716,-0.4870455,-0.31890777,0.042406283,0.45829234,-0.32895285,-0.20393133,0.21933322,-0.2588163,-0.37093028,-0.17184673,-0.2976931,-0.14385693,-0.34482795,-0.3248711,-0.13650525,0.026653385,-0.33448875,-0.2857285,-0.18578252,-0.07990816,-0.32597896,-0.08478924,-0.08359497,-0.07471743,-0.32707766,-0.25154018,-0.13851993,-0.026352312,-0.33832303,-0.075915545,0,0.0005886213820121611
24,-0.4288221,-0.10058861,-0.4892179,0.1311867,-0.6618067,-0.26503903,-0.5084671,-0.52928543,0.16364539,-0.6305803,-0.28275108,0.024615882,-0.72101676,-0.6667066,-1.4033859,-0.4470895,-0.6413419,-0.72101665,-0.6667066,-0.80678064,-0.8319236,-0.43900594,-0.25211012,-0.8319236,-0.13783385,-0.25211012,-0.9299314,-0.6877364,-0.4788919,-0.11156716,-0.4870455,-0.31890777,0.042406283,0.45829234,0.13704902,-0.20393133,0.63291985,-0.2588163,-0.37093028,-0.17184673,-0.2976931,-0.14385693,-0.34482795,-0.3248711,-0.13650525,0.026653385,-0.33448875,-0.2857285,-0.18578252,-0.07990816,-0.32597896,-0.08478924,-0.08359497,-0.07471743,-0.32707766,-0.25154018,-0.13851993,-0.026352312,-0.33832303,-0.075915545,0,8.555694116087577e-06
25,-0.4288221,-0.10058861,-0.4892179,-1.0586799,-0.6618067,-0.084033705,-0.5084671,-0.52928543,0.16364539,0.7670511,-0.28275108,0.024615882,-0.72101676,-0.6667066,-1.0340132,0.8951104,0.9631263,-0.72101665,-0.6667066,-0.80678064,0.7002874,-0.043886103,-0.25211012,0.7002874,-0.13783385,-0.25211012,-0.9299314,-0.6877364,-0.66438913,-0.11156716,-0.4870455,-0.31890777,0.042406283,0.45829234,0.13704902,-0.20393133,0.63291985,-0.2588163,-0.37093028,-0.17184673,-0.2976931,-0.14385693,-0.34482795,-0.3248711,-0.13650525,0.026653385,-0.33448875,-0.2857285,-0.18578252,-0.07990816,-0.32597896,-0.08478924,-0.08359497,-0.07471743,-0.32707766,-0.25154018,-0.13851993,-0.026352312,-0.33832303,-0.075915545,0,0.00028913786616411105
26,-0.4288221,-0.10058861,-0.4892179,0.27992004,-0.6618067,-0.38570926,-0.5084671,-0.52928543,0.16364539,0.7670511,-0.28275108,0.024615882,-0.72101676,-0.6667066,0.73897624,-0.4470895,-0.6413419,-0.72101665,-0.6667066,0.512324,-0.52548134,-0.1640348,-0.27031335,-0.52548134,-0.76613957,-0.27031335,-0.9299314,-0.6877364,-0.4788919,-0.11156716,-0.4870455,-0.31890777,0.042406283,0.45829234,0.13704902,-0.20393133,0.63291985,-0.2588163,-0.37093028,-0.17184673,-0.2976931,-0.14385693,-0.34482795,-0.3248711,-0.13650525,0.026653385,-0.33448875,-0.2857285,-0.18578252,-0.07990816,-0.32597896,-0.08478924,-0.08359497,-0.07471743,-0.32707766,-0.25154018,-0.13851993,-0.026352312,-0.33832303,-0.075915545,0,0.0057253363149996975
27,-0.5306198,-0.10058861,-0.4892179,0.1311867,-0.6618067,-0.38570926,-0.5084671,-0.8237155,-0.43457752,0.7670511,-0.28275108,0.024615882,-0.72101676,-0.46363667,0.73897624,0.8951104,0.9631263,-0.72101665,-0.4636366,0.512324,-0.52548134,-0.1640348,-0.27031335,-0.52548134,-0.76613957,-0.27031335,-0.9299314,-0.6877364,-0.39457503,-0.11156716,-0.4870455,-0.31890777,0.042406283,0.45829234,-0.46102825,-0.20393133,-0.57964987,-0.2588163,-0.37093028,-0.17184673,-0.2976931,-0.14385693,-0.34482795,-0.3248711,-0.13650525,0.026653385,-0.33448875,-0.2857285,-0.18578252,-0.07990816,-0.32597896,-0.08478924,-0.08359497,-0.07471743,-0.32707766,-0.25154018,-0.13851993,-0.026352312,-0.33832303,-0.075915545,0,0.008925963714961953
28,-0.5306198,-0.10058861,-0.4892179,0.72612,-0.6618067,-0.38570926,-0.5084671,-0.8237155,-0.43457752,0.7670511,-0.28275108,0.024615882,-0.72101676,-0.46363667,0.73897624,0.8951104,0.9631263,-0.72101665,-0.4636366,0.512324,-0.52548134,-0.1640348,-0.27031335,-0.52548134,-0.76613957,-0.27031335,-0.9299314,-0.6877364,-0.5632089,-0.11156716,-0.4870455,-0.31890777,0.042406283,0.45829234,-0.46102825,-0.20393133,-0.57964987,-0.2588163,-0.37093028,-0.17184673,-0.2976931,-0.14385693,-0.34482795,-0.3248711,-0.13650525,0.026653385,-0.33448875,2.1080782,-0.18578252,-0.07990816,-0.32597896,-0.08478924,-0.08359497,-0.07471743,2.6749535,-0.25154018,-0.13851993,-0.026352312,-0.33832303,-0.075915545,0,0.01538693488186051
29,-0.5306198,-0.10058861,-0.4892179,0.1311867,-0.6618067,-0.38570926,-0.5084671,-0.8237155,-0.43457752,0.7670511,-0.28275108,0.024615882,-0.72101676,-0.46363667,0.73897624,0.8951104,0.9631263,-0.72101665,-0.4636366,0.512324,-0.52548134,-0.1640348,-0.27031335,-0.52548134,-0.76613957,-0.27031335,-0.9299314,-0.6877364,-0.39457503,-0.11156716,-0.4870455,-0.31890777,0.042406283,0.45829234,-0.46102825,-0.20393133,-0.57964987,-0.2588163,-0.37093028,-0.17184673,-0.2976931,-0.14385693,-0.34482795,-0.3248711,-0.13650525,0.026653385,-0.33448875,-0.2857285,-0.18578252,-0.07990816,-0.32597896,-0.08478924,-0.08359497,-0.07471743,-0.32707766,-0.25154018,-0.13851993,-0.026352312,-0.33832303,-0.075915545,0,0.008925963714961953
30,-0.5306198,-0.10058861,-0.4892179,0.27992004,-0.6618067,-0.38570926,-0.5084671,-0.8237155,-0.43457752,0.7670511,-0.28275108,0.024615882,-0.72101676,-0.46363667,0.73897624,0.8951104,0.9631263,-0.72101665,-0.4636366,0.512324,-0.52548134,-0.1640348,-0.27031335,-0.52548134,-0.76613957,-0.27031335,-0.9299314,-0.6877364,-0.39457503,-0.11156716,-0.4870455,-0.31890777,0.042406283,0.45829234,-0.46102825,-0.20393133,-0.57964987,-0.2588163,-0.37093028,-0.17184673,-0.2976931,-0.14385693,-0.34482795,-0.3248711,-0.13650525,0.026653385,-0.33448875,-0.2857285,-0.18578252,-0.07990816,-0.32597896,-0.08478924,-0.08359497,-0.07471743,-0.32707766,-0.25154018,-0.13851993,-0.026352312,-0.33832303,-0.075915545,0,0.008598995631419493
31,-0.5306198,-0.10058861,-0.4892179,0.1311867,-0.6618067,-0.38570926,-0.5084671,-0.8237155,-0.43457752,0.7670511,-0.28275108,0.024615882,-0.72101676,-0.46363667,0.73897624,0.8951104,0.9631263,-0.72101665,-0.4636366,0.512324,-0.52548134,-0.1640348,-0.27031335,-0.52548134,-0.76613957,-0.27031335,-0.9299314,-0.6877364,-0.39457503,-0.11156716,-0.4870455,-0.31890777,0.042406283,0.45829234,-0.46102825,-0.20393133,-0.57964987,-0.2588163,-0.37093028,-0.17184673,-0.2976931,-0.14385693,-0.34482795,-0.3248711,-0.13650525,0.026653385,-0.33448875,-0.2857285,-0.18578252,-0.07990816,-0.32597896,-0.08478924,-0.08359497,-0.07471743,-0.32707766,-0.25154018,6.744488,-0.026352312,-0.33832303,-0.075915545,0,0.0012745469405270361
